tab	specimens																					
analysts	citations	dir_alpha95	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	instrument_codes	int_corr	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen	volume	weight
	This study		MT	6.7	254.7	33.7	4.5	2	18	0	hargrave 2018-11-14 02:44:47	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.17	pmagpy-4.2.17: demag_gui	BRa.17a		
	This study		HT	0	236.2	25.7	5.5	2	12	0	hargrave 2018-11-14 02:44:47	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.17	pmagpy-4.2.17: demag_gui	BRa.17a		
	This study		MT	6.7	260.3	-22.7	4.5	2	18	100	hargrave 2018-11-14 02:44:47	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.17	pmagpy-4.2.17: demag_gui	BRa.17a		
	This study		HT	0	244	-13.8	5.5	2	12	100	hargrave 2018-11-14 02:44:47	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.17	pmagpy-4.2.17: demag_gui	BRa.17a		
	This study		MT	15.6	242.7	18.1	13.4	2	17	-1	hargrave 2018-11-14 01:43:03	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.18	pmagpy-4.2.17: demag_gui	BRa.18a		
	This study		HT	0	223.4	7.8	2.6	2	12	-1	hargrave 2018-11-14 01:43:03	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.18	pmagpy-4.2.17: demag_gui	BRa.18a		
	This study		MT	15.6	244.6	28.9	13.4	2	17	0	hargrave 2018-11-14 01:43:03	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.18	pmagpy-4.2.17: demag_gui	BRa.18a		
	This study		HT	0	220.2	27.9	2.6	2	12	0	hargrave 2018-11-14 01:43:03	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.18	pmagpy-4.2.17: demag_gui	BRa.18a		
	This study		MT	15.6	250.7	-18.7	13.4	2	17	100	hargrave 2018-11-14 01:43:03	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.18	pmagpy-4.2.17: demag_gui	BRa.18a		
	This study		HT	0	240.4	0.2	2.6	2	12	100	hargrave 2018-11-14 01:43:03	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.18	pmagpy-4.2.17: demag_gui	BRa.18a		
	This study		HT	0	261.2	41.3	1.2	2	5	-1	hargrave 2018-11-14 01:44:18	u	962	954	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.19	pmagpy-4.2.17: demag_gui	BRa.19a		
	This study		MT	12	282.5	37	5.6	2	17	-1	hargrave 2018-11-14 01:44:18	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.19	pmagpy-4.2.17: demag_gui	BRa.19a		
	This study		HT	0	234.5	41.9	1.2	2	5	0	hargrave 2018-11-14 01:44:18	u	962	954	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.19	pmagpy-4.2.17: demag_gui	BRa.19a		
	This study		MT	12	252.4	32.4	5.6	2	17	0	hargrave 2018-11-14 01:44:18	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.19	pmagpy-4.2.17: demag_gui	BRa.19a		
	This study		HT	0	257.9	-5	1.2	2	5	100	hargrave 2018-11-14 01:44:18	u	962	954	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.19	pmagpy-4.2.17: demag_gui	BRa.19a		
	This study		MT	12	258	-22.1	5.6	2	17	100	hargrave 2018-11-14 01:44:18	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.19	pmagpy-4.2.17: demag_gui	BRa.19a		
	This study		MT	15.6	263	35	5.5	2	14	-1	hargrave 2018-11-14 01:17:52	u	893	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.1	pmagpy-4.2.17: demag_gui	BRa.1a		
	This study		HT	0	223.1	5.7	6	2	7	-1	hargrave 2018-11-14 01:17:52	u	962	949	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.1	pmagpy-4.2.17: demag_gui	BRa.1a		
	This study		MT	15.6	249.7	35.2	5.5	2	14	0	hargrave 2018-11-14 01:17:52	u	893	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.1	pmagpy-4.2.17: demag_gui	BRa.1a		
	This study		HT	0	199.7	18.6	6	2	7	0	hargrave 2018-11-14 01:17:52	u	962	949	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.1	pmagpy-4.2.17: demag_gui	BRa.1a		
	This study		MT	15.6	258.8	-18.6	5.5	2	14	100	hargrave 2018-11-14 01:17:52	u	893	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.1	pmagpy-4.2.17: demag_gui	BRa.1a		
	This study		HT	0	226.3	15.9	6	2	7	100	hargrave 2018-11-14 01:17:52	u	962	949	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.1	pmagpy-4.2.17: demag_gui	BRa.1a		
	This study		HT	0	122.6	21.5	2.3	2	12	-1	hargrave 2018-11-14 01:45:30	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.20	pmagpy-4.2.17: demag_gui	BRa.20a		
	This study		MT	12.4	135	15.8	16.8	2	17	-1	hargrave 2018-11-14 01:45:30	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.20	pmagpy-4.2.17: demag_gui	BRa.20a		
	This study		HT	0	223	38	2.3	2	12	0	hargrave 2018-11-14 01:45:30	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.20	pmagpy-4.2.17: demag_gui	BRa.20a		
	This study		MT	12.4	239.1	42.7	16.8	2	17	0	hargrave 2018-11-14 01:45:30	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.20	pmagpy-4.2.17: demag_gui	BRa.20a		
	This study		HT	0	250.7	1.4	2.3	2	12	100	hargrave 2018-11-14 01:45:30	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.20	pmagpy-4.2.17: demag_gui	BRa.20a		
	This study		MT	12.4	260.3	-7.5	16.8	2	17	100	hargrave 2018-11-14 01:45:30	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.20	pmagpy-4.2.17: demag_gui	BRa.20a		
	This study		HT	0	200.4	-12.1	1.7	2	12	-1	hargrave 2018-11-14 01:48:17	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.21	pmagpy-4.2.17: demag_gui	BRa.21a		
	This study		MT	2.5	203.7	-11.4	17.8	2	17	-1	hargrave 2018-11-14 01:48:17	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.21	pmagpy-4.2.17: demag_gui	BRa.21a		
	This study		HT	0	238.5	40.9	1.7	2	12	0	hargrave 2018-11-14 01:48:17	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.21	pmagpy-4.2.17: demag_gui	BRa.21a		
	This study		MT	2.5	242.7	40.2	17.8	2	17	0	hargrave 2018-11-14 01:48:17	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.21	pmagpy-4.2.17: demag_gui	BRa.21a		
	This study		HT	0	258.5	-8.1	1.7	2	12	100	hargrave 2018-11-14 01:48:17	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.21	pmagpy-4.2.17: demag_gui	BRa.21a		
	This study		MT	2.5	259.6	-11.2	17.8	2	17	100	hargrave 2018-11-14 01:48:17	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.21	pmagpy-4.2.17: demag_gui	BRa.21a		
	This study		HT	0	127.6	-6.9	1.6	2	11	-1	hargrave 2018-11-14 01:49:22	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.22	pmagpy-4.2.17: demag_gui	BRa.22a		
	This study		MT	10	139.1	-11.1	16.6	2	17	-1	hargrave 2018-11-14 01:49:22	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.22	pmagpy-4.2.17: demag_gui	BRa.22a		
	This study		HT	0	230.6	28.6	1.6	2	11	0	hargrave 2018-11-14 01:49:22	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.22	pmagpy-4.2.17: demag_gui	BRa.22a		
	This study		MT	10	242.9	34.4	16.6	2	17	0	hargrave 2018-11-14 01:49:22	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.22	pmagpy-4.2.17: demag_gui	BRa.22a		
	This study		HT	0	244.4	-8	1.6	2	11	100	hargrave 2018-11-14 01:49:22	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.22	pmagpy-4.2.17: demag_gui	BRa.22a		
	This study		MT	10	254.7	-14.6	16.6	2	17	100	hargrave 2018-11-14 01:49:22	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.22	pmagpy-4.2.17: demag_gui	BRa.22a		
	This study		MT	5.4	21.8	44.9	8.5	2	17	-1	hargrave 2018-11-14 01:50:28	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.23	pmagpy-4.2.17: demag_gui	BRa.23a		
	This study		HT	0	16.1	38.8	2.3	2	12	-1	hargrave 2018-11-14 01:50:28	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.23	pmagpy-4.2.17: demag_gui	BRa.23a		
	This study		MT	5.4	243.6	42.1	8.5	2	17	0	hargrave 2018-11-14 01:50:28	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.23	pmagpy-4.2.17: demag_gui	BRa.23a		
	This study		HT	0	238.4	36	2.3	2	12	0	hargrave 2018-11-14 01:50:28	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.23	pmagpy-4.2.17: demag_gui	BRa.23a		
	This study		MT	5.4	261.6	-10.7	8.5	2	17	100	hargrave 2018-11-14 01:50:28	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.23	pmagpy-4.2.17: demag_gui	BRa.23a		
	This study		HT	0	254.1	-10.6	2.3	2	12	100	hargrave 2018-11-14 01:50:28	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.23	pmagpy-4.2.17: demag_gui	BRa.23a		
	This study		HT	0	122.9	30.8	1.6	1	12	-1	hargrave 2018-11-14 02:46:02	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.24	pmagpy-4.2.17: demag_gui	BRa.24a		
	This study		HT	0	220.9	41.7	1.6	1	12	0	hargrave 2018-11-14 02:46:02	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.24	pmagpy-4.2.17: demag_gui	BRa.24a		
	This study		HT	0	253.6	4.2	1.6	1	12	100	hargrave 2018-11-14 02:46:02	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.24	pmagpy-4.2.17: demag_gui	BRa.24a		
	This study		MT	12.7	130	20.1	14.9	2	18	-1	hargrave 2018-11-14 02:47:12	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.25	pmagpy-4.2.17: demag_gui	BRa.25a		
	This study		HT	0	115.8	20	1.5	2	12	-1	hargrave 2018-11-14 02:47:12	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.25	pmagpy-4.2.17: demag_gui	BRa.25a		
	This study		MT	12.7	234.4	40.6	14.9	2	18	0	hargrave 2018-11-14 02:47:12	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.25	pmagpy-4.2.17: demag_gui	BRa.25a		
	This study		HT	0	222.2	31.6	1.5	2	12	0	hargrave 2018-11-14 02:47:12	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.25	pmagpy-4.2.17: demag_gui	BRa.25a		
	This study		MT	12.7	256.7	-5.6	14.9	2	18	100	hargrave 2018-11-14 02:47:12	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.25	pmagpy-4.2.17: demag_gui	BRa.25a		
	This study		HT	0	244.5	-0.2	1.5	2	12	100	hargrave 2018-11-14 02:47:12	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.25	pmagpy-4.2.17: demag_gui	BRa.25a		
	This study		HT	0	92.6	28.3	2	2	7	-1	hargrave 2018-11-14 02:48:25	u	962	949	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.26	pmagpy-4.2.17: demag_gui	BRa.26a		
	This study		MT	9.6	104.3	20.2	11.6	2	17	-1	hargrave 2018-11-14 02:48:25	u	918	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.26	pmagpy-4.2.17: demag_gui	BRa.26a		
	This study		HT	0	212	25.5	2	2	7	0	hargrave 2018-11-14 02:48:25	u	962	949	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.26	pmagpy-4.2.17: demag_gui	BRa.26a		
	This study		MT	9.6	226.7	24.6	11.6	2	17	0	hargrave 2018-11-14 02:48:25	u	918	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.26	pmagpy-4.2.17: demag_gui	BRa.26a		
	This study		HT	0	235.9	6.5	2	2	7	100	hargrave 2018-11-14 02:48:25	u	962	949	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.26	pmagpy-4.2.17: demag_gui	BRa.26a		
	This study		MT	9.6	239.3	-6.4	11.6	2	17	100	hargrave 2018-11-14 02:48:25	u	918	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.26	pmagpy-4.2.17: demag_gui	BRa.26a		
	This study		MT	11.6	71.2	43.7	5.1	2	15	-1	hargrave 2018-11-14 02:00:06	u	903	473	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.27	pmagpy-4.2.17: demag_gui	BRa.27a		
	This study		HT	0	50.9	54.8	3.2	2	12	-1	hargrave 2018-11-14 02:00:06	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.27	pmagpy-4.2.17: demag_gui	BRa.27a		
	This study		MT	11.6	246.4	35.8	5.1	2	15	0	hargrave 2018-11-14 02:00:06	u	903	473	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.27	pmagpy-4.2.17: demag_gui	BRa.27a		
	This study		HT	0	225.7	41.6	3.2	2	12	0	hargrave 2018-11-14 02:00:06	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.27	pmagpy-4.2.17: demag_gui	BRa.27a		
	This study		MT	11.6	257.6	-16.1	5.1	2	15	100	hargrave 2018-11-14 02:00:06	u	903	473	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.27	pmagpy-4.2.17: demag_gui	BRa.27a		
	This study		HT	0	254.8	0.8	3.2	2	12	100	hargrave 2018-11-14 02:00:06	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.27	pmagpy-4.2.17: demag_gui	BRa.27a		
	This study		HT	0	268.3	58.7	2.2	2	11	-1	hargrave 2018-11-14 02:01:20	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.28	pmagpy-4.2.17: demag_gui	BRa.28a		
	This study		MT	12.4	281.4	78.1	6.8	2	17	-1	hargrave 2018-11-14 02:01:20	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.28	pmagpy-4.2.17: demag_gui	BRa.28a		
	This study		HT	0	208.7	43.1	2.2	2	11	0	hargrave 2018-11-14 02:01:20	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.28	pmagpy-4.2.17: demag_gui	BRa.28a		
	This study		MT	12.4	236.2	48.2	6.8	2	17	0	hargrave 2018-11-14 02:01:20	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.28	pmagpy-4.2.17: demag_gui	BRa.28a		
	This study		HT	0	252.6	13.3	2.2	2	11	100	hargrave 2018-11-14 02:01:20	u	962	933	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.28	pmagpy-4.2.17: demag_gui	BRa.28a		
	This study		MT	12.4	264	-3	6.8	2	17	100	hargrave 2018-11-14 02:01:20	u	923	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.28	pmagpy-4.2.17: demag_gui	BRa.28a		
	This study		HT	0	287.4	35.4	2.3	2	8	-1	hargrave 2018-11-14 02:02:31	u	962	947	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	BRa.29	pmagpy-4.2.17: demag_gui	BRa.29a		
	This study		MT	10.6	300.9	44.2	13.9	2	18	-1	hargrave 2018-11-14 02:02:31	u	928	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	BRa.29	pmagpy-4.2.17: demag_gui	BRa.29a		
